Marca,Modelo,Descripción,Tensión Nominal (V),Potencia Nominal (W),Clase de eficiencia energética,Capacidad Nominal (l),Energía Mensual (kWh),Tiempo de Calentamiento (hs:min),Presion Nominal (MPa),Temperatura Media del Agua Extraida (ºC),Empresa,Nro. Aprobación
STEIGLEDER,RC - 20 L,Calentador cerrado VERTICAL COBRE de 20 Litros,230,1200,C,20,50,0:41,"0,6","50,7",Rivomark S.A.,EE-CAE-000008
ROTEL,RC - 20 L,Calentador cerrado VERTICAL COBRE de 20 Litros,230,1200,C,20,50,0:41,"0,6","50,7",Rivomark S.A.,EE-CAE-000008
JOYA,RC - 20 L,Calentador cerrado VERTICAL COBRE de 20 Litros,230,1200,C,20,50,0:41,"0,6","50,7",Rivomark S.A.,EE-CAE-000008
BEUSA,RC - 20 L,Calentador cerrado VERTICAL COBRE de 20 Litros,230,1200,C,20,50,0:41,"0,6","50,7",Rivomark S.A.,EE-CAE-000008
TEM,RC - 20 L,Calentador cerrado VERTICAL COBRE de 20 Litros,230,1200,C,20,50,0:41,"0,6","50,7",Rivomark S.A.,EE-CAE-000008
QUEEN,RC - 20 L,Calentador cerrado VERTICAL COBRE de 20 Litros,230,1200,C,20,50,0:41,"0,6","50,7",Rivomark S.A.,EE-CAE-000008
SIRIUM,RC - 20 L,Calentador cerrado VERTICAL COBRE de 20 Litros,230,1200,C,20,50,0:41,"0,6","50,7",Rivomark S.A.,EE-CAE-000008
PROPIA,WB5 60,Calentador de agua de acumulacion,230,1400,A,60,111,1:44,"0,6",51,Warners,EE-CAE-000006
PROPIA,WB5 80,Calentador de agua de acumulacion,230,1400,A,80,150,2:39,"0,6",55,Warners,EE-CAE-000006
PROPIA,WB5 50,Calentador de agua de acumulacion,230,1400,A,50,95,1:33,"0,6",58,Warners,EE-CAE-000006
PROPIA,WB5 40,Calentador de agua de acumulacion,230,1400,A,40,76,1:08,"0,6",51,Warners,EE-CAE-000006
PROPIA,WB5 30,Calentador de agua de acumulacion,230,1200,B,30,64,1:03,"0,6",51,Warners,EE-CAE-000006
TEM,WB5 60,Calentador de agua de acumulacion,230,1400,A,60,111,1:44,"0,6",51,Warners,EE-CAE-000006
TEM,WB5 80,Calentador de agua de acumulacion,230,1400,A,80,150,2:39,"0,6",55,Warners,EE-CAE-000006
TEM,WB5 50,Calentador de agua de acumulacion,230,1400,A,50,95,1:33,"0,6",58,Warners,EE-CAE-000006
TEM,WB5 40,Calentador de agua de acumulacion,230,1400,A,40,76,1:08,"0,6",51,Warners,EE-CAE-000006
TEM,WB5 30,Calentador de agua de acumulacion,230,1200,B,30,64,1:03,"0,6",51,Warners,EE-CAE-000006
NATIONAL WHITE,WB5 60,Calentador de agua de acumulacion,230,1400,A,60,111,1:44,"0,6",51,Warners,EE-CAE-000006
NATIONAL WHITE,WB5 80,Calentador de agua de acumulacion,230,1400,A,80,150,2:39,"0,6",55,Warners,EE-CAE-000006
NATIONAL WHITE,WB5 50,Calentador de agua de acumulacion,230,1400,A,50,95,1:33,"0,6",58,Warners,EE-CAE-000006
NATIONAL WHITE,WB5 40,Calentador de agua de acumulacion,230,1400,A,40,76,1:08,"0,6",51,Warners,EE-CAE-000006
NATIONAL WHITE,WB5 30,Calentador de agua de acumulacion,230,1200,B,30,64,1:03,"0,6",51,Warners,EE-CAE-000006
ELDOM,WB5 60,Calentador de agua de acumulacion,230,1400,A,60,111,1:44,"0,6",51,Warners,EE-CAE-000006
ELDOM,WB5 80,Calentador de agua de acumulacion,230,1400,A,80,150,2:39,"0,6",55,Warners,EE-CAE-000006
ELDOM,WB5 50,Calentador de agua de acumulacion,230,1400,A,50,95,1:33,"0,6",58,Warners,EE-CAE-000006
ELDOM,WB5 40,Calentador de agua de acumulacion,230,1400,A,40,76,1:08,"0,6",51,Warners,EE-CAE-000006
ELDOM,WB5 30,Calentador de agua de acumulacion,230,1200,B,30,64,1:03,"0,6",51,Warners,EE-CAE-000006
NIC´S,WB5 60,Calentador de agua de acumulacion,230,1400,A,60,111,1:44,"0,6",51,Warners,EE-CAE-000006
NIC´S,WB5 80,Calentador de agua de acumulacion,230,1400,A,80,150,2:39,"0,6",55,Warners,EE-CAE-000006
NIC´S,WB5 50,Calentador de agua de acumulacion,230,1400,A,50,95,1:33,"0,6",58,Warners,EE-CAE-000006
NIC´S,WB5 40,Calentador de agua de acumulacion,230,1400,A,40,76,1:08,"0,6",51,Warners,EE-CAE-000006
NIC´S,WB5 30,Calentador de agua de acumulacion,230,1200,B,30,64,1:03,"0,6",51,Warners,EE-CAE-000006
DIKLER,WB5 60,Calentador de agua de acumulacion,230,1400,A,60,111,1:44,"0,6",51,Warners,EE-CAE-000006
DIKLER,WB5 80,Calentador de agua de acumulacion,230,1400,A,80,150,2:39,"0,6",55,Warners,EE-CAE-000006
DIKLER,WB5 50,Calentador de agua de acumulacion,230,1400,A,50,95,1:33,"0,6",58,Warners,EE-CAE-000006
DIKLER,WB5 40,Calentador de agua de acumulacion,230,1400,A,40,76,1:08,"0,6",51,Warners,EE-CAE-000006
DIKLER,WB5 30,Calentador de agua de acumulacion,230,1200,B,30,64,1:03,"0,6",51,Warners,EE-CAE-000006
WARNER'S,WB5 60,Calentador de agua de acumulacion,230,1400,A,60,111,1:44,"0,6",51,Warners,EE-CAE-000006
WARNER'S,WB5 80,Calentador de agua de acumulacion,230,1400,A,80,150,2:39,"0,6",55,Warners,EE-CAE-000006
WARNER'S,WB5 50,Calentador de agua de acumulacion,230,1400,A,50,95,1:33,"0,6",58,Warners,EE-CAE-000006
WARNER'S,WB5 40,Calentador de agua de acumulacion,230,1400,A,40,76,1:08,"0,6",51,Warners,EE-CAE-000006
WARNER'S,WB5 30,Calentador de agua de acumulacion,230,1200,B,30,64,1:03,"0,6",51,Warners,EE-CAE-000006
ARISTON,PRO ECO 100 V,Calentador de agua de acumulación,230,1800,A,95,182,2:43,"0,8",57,Ridel S.A.,EE-CAE-000005
ARISTON,PRO ECO 80V,Calentador de agua de acumulación,230,1800,A,75,147,2:09,"0,8",55,Ridel S.A.,EE-CAE-000005
ARISTON,TI-SHAPE 15 ORD,Calentador de agua de acumulación,220/240,2000,D,15,"38,8",0:21,"0,8",57,Ridel S.A.,EE-CAE-000005
Hyundai,HYCE140,Calentador electrico de acumulacion,220,1500,A,140,240,4:40,-,-,Barraca Europa S.A.,EE-CAE-000002
Hyundai,HYCE100,Calentador electrico de acumulacion,220,1500,B,100,208,3:10,-,-,Barraca Europa S.A.,EE-CAE-000002
Hyundai,HYCE80,Calentador electrico de acumulacion,220,1500,B,80,160,2:33,-,-,Barraca Europa S.A.,EE-CAE-000002
Hyundai,HYCE50,Calentador electrico de acumulacion,220,1500,D,50,138,1:33,-,-,Barraca Europa S.A.,EE-CAE-000002
Hyundai,HYCE30,Calentador electrico de acumulacion,220,1500,C,30,74,0:45,-,-,Barraca Europa S.A.,EE-CAE-000002
Beusa,BECE100,Calentador electrico de acumulacion,220,1500,B,100,208,3:10,-,-,Barraca Europa S.A.,EE-CAE-000002
Beusa,BECE80,Calentador electrico de acumulacion,220,1500,B,80,160,2:33,-,-,Barraca Europa S.A.,EE-CAE-000002
Beusa,BECE50,Calentador electrico de acumulacion,220,1500,D,50,138,1:33,-,-,Barraca Europa S.A.,EE-CAE-000002
Beusa,BECE30,Calentador electrico de acumulacion,220,1500,C,30,74,0:45,-,-,Barraca Europa S.A.,EE-CAE-000002
JAMES,P 30 AC,Calentador de agua de acumulacion,230,1500,A,30,56,0:49,-,52,JAMES S.A.,EE-CAE-000001
JAMES,P 110 A,Calentador de agua de acumulacion,230,1500,A,110,213,3:33,-,-,JAMES S.A.,EE-CAE-000001
JAMES,P 80 A,Calentador de agua de acumulacion,230,1500,A,80,154,2:27,-,53,JAMES S.A.,EE-CAE-000001
JAMES,P 60 A,Calentador de agua de acumulacion,230,1500,A,60,114,1:51,-,-,JAMES S.A.,EE-CAE-000001
JAMES,P 40 A,Calentador de agua de acumulacion,230,1500,A,40,"76,5",1:09,-,50,JAMES S.A.,EE-CAE-000001
JAMES,P 30 A,Calentador de agua de acumulacion,230,1500,A,30,57,0:41,-,-,JAMES S.A.,EE-CAE-000001
